2017/09/21 11:32:28 [error] 2438#0: *1 open() "/home/pi/projects/yourapplication/yourapplication/static/static/bootstrap/dist/css/bootstrap.min.css" failed (2: No such file or directory), client: 192.168.0.10, server: 192.168.0.13, request: "GET /static/bootstrap/dist/css/bootstrap.min.css HTTP/1.1", host: "192.168.0.13", referrer: "http://192.168.0.13/"
2017/09/21 11:32:28 [error] 2438#0: *3 open() "/home/pi/projects/yourapplication/yourapplication/static/static/bootstrap/dist/js/bootstrap.min.js" failed (2: No such file or directory), client: 192.168.0.10, server: 192.168.0.13, request: "GET /static/bootstrap/dist/js/bootstrap.min.js HTTP/1.1", host: "192.168.0.13", referrer: "http://192.168.0.13/"
2017/09/21 11:32:29 [error] 2438#0: *3 open() "/home/pi/projects/yourapplication/yourapplication/static/static/bootstrap/dist/js/bootstrap.min.js" failed (2: No such file or directory), client: 192.168.0.10, server: 192.168.0.13, request: "GET /static/bootstrap/dist/js/bootstrap.min.js HTTP/1.1", host: "192.168.0.13", referrer: "http://192.168.0.13/"
2017/09/21 15:22:10 [error] 4608#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 16:37:35 [error] 5018#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 16:38:02 [error] 5018#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 16:38:51 [error] 5018#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 16:39:03 [error] 5018#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 16:40:21 [error] 5018#0: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 16:40:31 [error] 5202#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 16:41:03 [error] 5202#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 18:34:22 [error] 6567#0: *79 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 18:34:53 [error] 6567#0: *85 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/21 18:54:39 [error] 6567#0: *157 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/23 00:51:50 [error] 660#0: *20 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/23 23:07:02 [error] 658#0: *9 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/23 23:52:09 [error] 2665#0: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/24 01:06:07 [error] 2755#0: *15 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
2017/09/24 18:42:14 [error] 659#0: *7 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.10, server: 192.168.0.13, request: "GET / HTTP/1.1", upstream: "http://192.168.0.13:5000/", host: "192.168.0.13"
